Target,Source,Weight
rai,rai,13
men,men,128
shine,shine,10
forth,forth,11
singl,singl,27
rain,rain,18
let,let,21
divin,divin,27
differ,earth,11
assembl,assembl,19
delight,delight,14
field,field,44
differ,differ,16
wai,wai,14
rai,field,10
quarter,quarter,18
field,quarter,10
thousand,thousand,123
thousand,buddha,37
thousand,field,26
appear,thousand,18
buddha,buddha,196
buddha,field,32
appear,buddha,18
appear,field,11
appear,appear,32
gold,gold,17
far,far,21
hell,hell,10
extrem,extrem,12
exist,extrem,14
exist,exist,61
be,exist,24
exist,field,18
exist,live,10
exist,state,20
be,be,118
be,field,14
be,live,75
be,state,10
be,born,16
live,live,62
state,state,23
leav,leav,12
born,born,32
visibl,visibl,10
happi,happi,12
low,low,18
emin,emin,19
intermedi,intermedi,22
place,place,42
king,buddha,13
buddha,reveal,25
buddha,show,10
buddha,law,76
koti,buddha,91
creatur,buddha,14
voic,buddha,14
lion,lion,11
king,king,43
king,law,26
reveal,reveal,35
law,reveal,56
koti,reveal,11
show,show,17
law,show,11
koti,show,10
essenc,law,10
law,law,353
koti,law,93
creatur,law,29
law,sound,10
voic,law,14
koti,koti,201
creatur,koti,36
koti,sweet,10
koti,sound,10
voic,koti,10
creatur,creatur,60
emit,emit,12
sweet,sweet,14
voic,sweet,20
sound,sound,20
voic,voic,50
let,law,18
let,koti,11
law,field,18
koti,field,26
voic,deep,11
sublim,sublim,14
sublim,law,12
wonder,wonder,10
voic,wonder,10
buddha,wonder,10
law,wonder,12
proclaim,proclaim,18
proclaim,law,32
buddha,mean,12
myriad,buddha,10
law,mean,20
myriad,law,28
illustr,law,16
law,proof,10
mean,mean,30
myriad,myriad,30
koti,myriad,62
illustr,myriad,16
illustr,koti,14
illustr,illustr,11
mind,mind,36
birth,birth,14
announc,announc,10
rest,rest,30
sai,sai,14
end,end,15
monk,monk,41
strength,strength,15
acquir,acquir,16
merit,merit,24
virtu,virtu,19
buddha,vehicl,34
rule,buddha,18
vehicl,vehicl,61
vehicl,law,20
pratyekabuddha,pratyekabuddha,10
observ,observ,11
observ,rule,10
rule,rule,21
rule,law,11
sugata,son,26
son,enlighten,31
sugata,sugata,66
sugata,knowledg,13
sugata,enlighten,20
superior,superior,45
knowledg,superior,14
enlighten,superior,54
knowledg,knowledg,90
constantli,constantli,18
accomplish,accomplish,12
task,task,10
enlighten,enlighten,169
hear,hear,80
thousand,hear,11
koti,hear,23
thing,thing,21
thousand,koti,164
bodhisattva,bodhisattva,120
thousand,bodhisattva,73
koti,bodhisattva,48
bodhisattva,like,10
sand,bodhisattva,15
gang,bodhisattva,38
produc,bodhisattva,16
bodhisattva,enlighten,27
bodhisattva,differ,18
thousand,like,17
sand,thousand,25
gang,thousand,37
thousand,produc,12
thousand,enlighten,35
thousand,differ,10
thousand,power,15
koti,like,24
sand,koti,28
gang,koti,31
koti,enlighten,52
koti,power,21
like,like,71
sand,like,28
gang,like,28
enlighten,like,16
sand,sand,41
sand,gang,72
sand,enlighten,18
gang,gang,40
gang,enlighten,16
produc,produc,27
accord,accord,18
power,power,44
silver,gold,12
gold,pearl,10
stone,gold,10
jewel,jewel,38
male,femal,11
gift,gift,11
heart,heart,12
develop,develop,10
gain,enlighten,14
excel,excel,26
excel,world,12
vehicl,world,25
world,world,275
buddha,world,105
sugata,world,13
sugata,buddha,12
flower,flower,23
preciou,preciou,18
substanc,preciou,18
substanc,substanc,10
hand,hand,29
hand,enlighten,10
feet,feet,10
strive,strive,21
suprem,strive,18
strive,enlighten,34
suprem,suprem,58
suprem,enlighten,74
ey,ey,22
bodi,bodi,47
tathâgata,bodi,14
aspir,aspir,10
tathâgata,knowledg,10
tathâgata,tathâgata,72
behold,behold,12
law,world,133
ask,ask,12
excel,law,14
sake,law,28
sake,sake,22
robe,robe,10
monk,live,10
forest,forest,10
bodhisattva,buddha,26
knowledg,bodhisattva,14
wisdom,wisdom,22
mountain,mountain,11
medit,medit,47
knowledg,buddha,68
arriv,arriv,13
self,self,19
clear,clear,11
sphere,sphere,11
obtain,obtain,22
transcend,transcend,20
faculti,transcend,26
faculti,faculti,27
son,live,13
sugata,live,15
true,true,31
true,sugata,12
son,son,78
hand,stand,12
join,stand,12
stand,gina,10
thousand,stand,20
firm,firm,13
feet,thousand,10
hand,join,38
hand,respect,10
hand,gina,12
hand,thousand,12
join,join,19
join,respect,10
join,gina,12
join,thousand,12
respect,respect,15
leader,leader,77
leader,gina,12
leader,thousand,15
prais,prais,10
joyfulli,joyfulli,10
stanza,joyfulli,10
lead,lead,18
gina,gina,118
thousand,gina,26
stanza,stanza,14
thought,law,13
master,master,15
master,law,10
cours,cours,55
duti,cours,43
cours,law,24
duti,duti,30
duti,law,16
highest,highest,44
men,highest,44
highest,law,23
men,law,45
memori,memori,18
son,gina,49
law,son,44
koti,son,26
be,son,12
complet,gina,17
self,gina,10
preach,gina,16
law,gina,67
koti,gina,40
live,gina,16
be,gina,27
complet,complet,45
complet,law,24
complet,koti,14
law,self,14
be,self,11
preach,preach,65
preach,law,97
koti,preach,25
preach,live,12
be,preach,27
law,live,31
be,law,82
reason,law,12
koti,live,46
be,koti,81
myriad,live,10
be,myriad,20
illustr,reason,10
reason,reason,12
rous,law,11
bodhisattva,law,30
drum,law,14
rous,rous,13
rous,bodhisattva,17
evil,evil,18
drum,drum,12
men,son,17
sugata,command,12
sugata,men,11
conduct,conduct,11
men,live,14
god,live,13
command,command,15
honour,honour,39
men,honour,20
god,honour,21
men,god,73
men,goblin,22
god,god,73
god,goblin,28
goblin,goblin,22
titan,goblin,10
save,save,11
creatur,rous,10
creatur,enlighten,14
rous,enlighten,14
suprem,gina,23
enlighten,gina,38
complet,enlighten,11
walk,walk,16
cours,suprem,14
cours,enlighten,24
keep,keep,18
moral,moral,16
forbear,forbear,10
monk,enlighten,12
try,try,10
attain,attain,13
enlighten,attain,12
have,bodhisattva,36
men,bodhisattva,12
pleasur,pleasur,15
have,have,43
thought,thought,24
thought,medit,10
thought,enlighten,14
attent,attent,10
mind,koti,14
mind,medit,12
mind,enlighten,10
thousand,medit,10
koti,medit,12
koti,strive,12
year,year,13
enlighten,medit,12
dint,medit,10
presenc,presenc,10
discipl,gina,20
discipl,discipl,65
food,food,26
soft,food,13
drink,food,11
koti,discipl,16
thousand,discipl,15
hundr,hundr,31
koti,hundr,25
cloth,cloth,13
sugata,koti,20
numer,koti,13
monasteri,monasteri,10
caus,caus,14
wood,sandal,12
wood,wood,13
numer,numer,28
men,leader,31
leader,flower,10
love,love,12
fruit,fruit,19
beauti,beauti,19
feel,feel,29
order,order,14
obtain,enlighten,13
reach,enlighten,70
enlighten,mean,18
reach,try,12
reach,reach,64
reach,suprem,22
thousand,law,53
suprem,law,24
law,enlighten,80
thousand,myriad,14
myriad,enlighten,10
thousand,preach,15
preach,enlighten,23
thousand,live,31
be,thousand,50
thousand,suprem,17
thousand,scienc,14
koti,suprem,21
enlighten,live,12
be,suprem,13
be,enlighten,28
reach,son,11
sugata,law,42
reach,law,32
wisdom,law,12
understand,understand,19
understand,law,17
law,thing,11
law,like,31
avoid,avoid,14
sugata,bodhisattva,11
bodhisattva,gina,19
displai,displai,16
worship,sugata,11
sugata,gina,13
worship,worship,33
worship,relic,14
worship,gina,12
relic,relic,16
thousand,stûpa,15
numer,thousand,10
thousand,son,13
koti,stûpa,12
stûpa,stûpa,23
gina,stûpa,12
sand,numer,20
numer,gang,22
sand,gina,11
thousand,preciou,10
substanc,thousand,10
measur,measur,17
heard,heard,29
worship,god,12
worship,pai,13
worship,flower,11
flower,perfum,12
honour,gina,15
direct,direct,28
direct,space,15
space,space,21
tree,tree,34
blossom,tree,12
blossom,blossom,10
behold,world,16
numer,world,11
koti,world,46
creatur,world,38
gina,world,42
cover,cover,15
men,power,13
power,knowledg,15
power,world,16
leader,knowledg,27
leader,world,70
